source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,I hope the boycott of @Macys continues forever. So many people are cutting up their cards. Macy's stores suck and they are bad for U.S.A.,07-16-2015 13:14:15,1143,2337,false,621669173534584833
Twitter Web Client,I am so happy that people are boycotting Macy's http://t.co/qtmaEbeVy8,07-13-2015 21:16:56,1222,2825,false,620703480995557376
Twitter for Android,@tiberias84. Thank you! @macy's,11-26-2014 23:13:59,0,3,false,537746116557934593
Twitter for Android,People are loving the new line of Trump ties and shirts at Macy's. Check them out!,09-26-2014 12:27:03,42,108,false,515477648718692353
Twitter for Android,Go to Macy's today and buy Trump ties shirts suits and cufflinks as a Christmas or holiday present.Great style great price! ONLY THE BEST,12-19-2013 12:48:20,92,98,false,413652016318406656
Twitter for Android,My ties shirts and cufflinks have never been more beautiful-THE BEST-available at Macy's!,11-29-2013 12:42:13,35,78,false,406402717960400897
Twitter for Android,@grouponegav   Yes online through Macy's.,11-15-2013 09:22:11,0,0,false,401278949277577217
Twitter for Android,The new line of Trump ties shirts and cufflinks are out at Macy's and are really beautiful at a really reasonable.price. Go check them out!,10-27-2013 20:57:47,47,42,false,394568634078883840
Twitter for Android,My shirts ties and suits are selling great @Macy's because they are the best and most stylish at a really reasonable price - thanks!,09-07-2013 23:08:16,42,46,false,376482078864711680
Twitter for Android,People are really liking the new ties and shirts @Macy's-they are amazing and selling great!,08-29-2013 22:53:35,28,21,false,373216892246589440
Twitter for Android,@Howard2Lloyd Yes at Macy's.,08-18-2013 21:26:38,0,0,false,369208744699117568
Twitter for Android,The ties shirts and suits at Macy's are doing fantastically well-check out the new designs and low prices-nothing better!,07-22-2013 00:42:52,33,18,false,359111265228034048
Twitter for Android,@micr0driguez   They gave up because the shirts ties and cufflinks are hot sellers @Macy's.,06-26-2013 01:22:39,0,1,false,349699193834708992
Twitter for Android,New and great selection of ties shirts and cufflinks@Macy's - check them out!,06-26-2013 01:08:09,23,22,false,349695545473904643
Twitter for Android,I hope everybody goes to Macy's today to get Donald J.  Trump shirts ties suits and cufflinks - they are really beautiful at low price,06-07-2013 06:57:40,97,57,false,342898132172025856
Twitter for Android,Thanks for the tremendous support for my shirts ties and suits at Macy's. They do great because of really high quality at a low price.,04-27-2013 11:13:58,67,55,false,328104731673231361
Twitter Web Client,@borland_jim Macy's ships to Canada! Just go to: http://t.co/TSgNYqisEx,04-22-2013 20:31:49,4,1,false,326433177931497472
Twitter for Android,My ties and shirts are doing very big numbers @Macy's beyond my wildest thoughts! Thanks @GoAngelo and the rest of the losers for mentions!,04-22-2013 06:51:08,41,31,false,326226646245986304
Twitter for Android,The shirts and ties at Macy's are so good-beautiful and do so well that guys like the one that sued me wrongly want a piece-l kicked his ass,04-21-2013 13:32:51,201,177,false,325965355535196162
Twitter for Android,Sorry  the best and most beautiful ties and shirts made anywhere and at a really reasonable cost. Also fragrance is amazing. GO TO MACY'S.,04-20-2013 13:12:25,89,58,false,325597826824421376
Twitter Web Client,@oparinde Macy's will be happy--and so am I.,04-16-2013 15:06:55,0,0,false,324177089651695617
Twitter for Android,I hope everyone (especially the haters and losers) goes to Macy's today and buys some DJT ties shirts and suits-and SUCCESS Fragrance-love!,04-10-2013 11:42:32,132,91,false,321951327301296128
Twitter for Android,The new selection of ties shirts and suits at Macy's is amazing - also available in Trump Tower lobby.,03-27-2013 11:03:01,45,34,false,316867951162707968
Twitter Web Client,Thanks Go Angelo people are now really aware of my ties shirts and cuff links at Macy's-,02-26-2013 18:09:06,20,20,false,306465930483998720
Twitter Web Client,A certain whack job Go Angelo who doesn't have a life- spends his time hopelessly attacking me re: Macy's....,02-26-2013 18:08:05,11,11,false,306465676128821248
Twitter for Android,Dummy goAngelo keep letting people know how great my shirts ties and cufflinks (also Success) are at Macy's.The BEST-now everyone's aware!,02-24-2013 20:52:08,30,24,false,305782184780918785
Twitter for Android,Come on goAngelo don't give up now just because your "rally" at Macy's drew only eleven people for twenty minutes! I love@ Macy's.,02-24-2013 20:36:33,22,19,false,305778263165378560
Twitter for Android,Wow Macy's numbers just in-Trump is doing better than ever - thanks for your great support!,02-21-2013 00:07:13,53,49,false,304381728536002560
Twitter Web Client,#SuccessByTrump exclusively available @Macy's has set sale records for fastest selling cologne. Makes a great gift http://t.co/Lr6ENhWA,10-17-2012 21:01:45,57,14,false,258674180550184960
Twitter Web Client,@drumline_mormon  It is selling great at Macy's--thanks!,10-16-2012 21:22:31,0,2,false,258317021505282048
Twitter Web Client,I keep getting great feedback on new #TRUMP cologne 'Success.' Exclusively available at @Macy's http://t.co/8YMD9fQH And best shirts &amp; ties,09-13-2012 19:49:36,40,10,false,246334835558342656
Twitter Web Client,Have you seen the new #TRUMP line of clothing apparel and fragrances @Macy's? Selling like hotcakes. Great for Christmas gifts etc.,09-05-2012 19:04:39,53,17,false,243424423628128256
Twitter Web Client,#SuccessByTrump Here’s a photo from my appearance at @Macy's Herald Square with @ximenanr http://t.co/V6IbtmWH,04-27-2012 21:14:03,42,7,false,195984176510545920
TweetDeck,I'm thrilled to announce that my new tailored clothing line has officially launched at Macy's. In business it'… (cont) http://t.co/BSu4BoHn,09-30-2011 13:10:00,45,9,false,119760907835424768
TweetDeck,I'm looking forward to seeing you all this afternoon at Macy's Herald Square.  5:30 pm at the Crystal department on 8.,09-14-2011 13:57:13,12,2,false,113974585808007171